Technology,Language,Description,Usage,Platform
React.js,"CSS, HTML, JavaScript",Web user interfaces with states.,Front-End,Web App
Vue.js,"CSS, HTML, JavaScript",Progressive web user interfaces with reactivity.,Front-End,Web App
Angular,"CSS, HTML, JavaScript",Single Page Application,Front-End,Web App
Svelte,"CSS, HTML, JavaScript",Web user interfaces reactivity.,Front-End,Web App
SolidJS,"CSS, HTML, JavaScript",Optimized web user interfaces.,Front-End,Web App
Alpine,"CSS, HTML, JavaScript","Rugged, minimal tool for composing behavior directly in your markup.",Front-End,Web App
Inferno,"CSS, HTML, JavaScript","Inferno is an insanely fast, React-like library for building high-performance user interfaces on both the client and server.",,
Docusaurus,"CSS, HTML, JavaScript, Markdown",Web framework for building documentation sites.,Front-End,Web App
Lume,"CSS, HTML, JavaScript",Static Site Generator for Deno.,Front-End,Web App
Fresh,"CSS, HTML, JavaScript","Fresh is a small, fast and extensible full stack web framework built on Web Standards.",Front-End,Web App
Qwik,"CSS, HTML, JavaScript",New kind of web framework that can deliver instant loading web applications at any size or complexity.,Front-End,Web App
Marko,"CSS, HTML, JavaScript","Re-imagines HTML as a language for building dynamic and reactive user interfaces. ",Front-End,Web App
Astro,"CSS, HTML, JavaScript","Island based, fully fledged, development environment integrated with Node and various front-end frameworks.",Environment,"Server, Web App"
Bun,JavaScript,"Bun is a fast, incrementally adoptable all-in-one JavaScript, TypeScript & JSX toolkit. ",Environment,"Server, Web App"
Deno,JavaScript,"Open source runtime for JavaScript, TypeScript, and WebAssembly projects.",Back-End,System
Hono,JavaScript,"Small, simple, and fast web framework built on Web Standards.",Back-End,Server
Webpack,JavaScript,"Legacy module bundler, por packaging projects into optimized files for a browser.",Front-End,Bundler
Vite,JavaScript,"Framework based, native ESM server built upon Rollup and esbuild.",Front-End,Bundler
Parcel,JavaScript,Build tool designed for a zero-configuration experience.,Front-End,Bundler
esbuild,JavaScript,"Quick bundler, minifier, and transpiler. Often used as a low-level, high-speed component inside other build tools",Front-End,Bundler
Turbopack,JavaScript,High-performance bundler developed by the Vercel team.,Front-End,Bundler
Rollup,JavaScript,"Specialized module bundler for JavaScript, primarily distinguished by its focus on creating highly optimized, efficient, and small output bundles,",Front-End,Bundler
Babel,JavaScript,JavaScript Transpiler.,Front-End,Bundler
Node.js,JavaScript,"Free, open-source, cross-platform JavaScript runtime environment that lets developers create servers, web apps, command line tools and scripts.",Back-End,Server
Express,JavaScript,Minimalist REST API server.,Back-End,RESTful
Fastify,JavaScript,Optimized REST API server,Back-End,RESTful
Nest JS,JavaScript,Flexible enterprise grade server applications.,Back-End,On Top Server
oak,JavaScript,"oak is a middleware framework for handling HTTP requests across Deno, Node.js, Bun and Cloudflare Workers.",Back-End,Server
Next.js,"CSS, HTML, JavaScript",Simple React complete applications with server side processing.,Full Stack,"Server, Web App"
Remix,"CSS, HTML, JavaScript",Simple standarized React web application framework.,Full Stack,"Server, Web App"
Nuxt,"CSS, HTML, JavaScript",Simple Vue complete applications with server side processing.,Full Stack,"Server, Web App"
Analog,"CSS, HTML, JavaScript",Simple Angular complete applications with server side processing.,Full Stack,"Server, Web App"
SvelteKit,"CSS, HTML, JavaScript",Simple Svelte complete applications with server side processing.,Full Stack,"Server, Web App"
Jinja2,"CSS, HTML, Python",Templating engine with embedded content.,Front-End,Templates
PyJSX,"HTML, JavaScript, Python",Module for writing JSX code within Python.,Front-End,Web App
Django,"CSS, HTML, Python","Complete Python web applications with models, views and templates.",Full Stack,"Server, Templates, Web App"
Django REST Framework,Python,Complete Python web toolkit for JSON APIs.,Back-End,RESTful
Flask,Python,Simple Python web applications and server side processing.,Back-End,WSGI
FastAPI,Python,High performance asynchronous REST APIs.,Back-End,ASGI
Thymeleaf,"CSS, HTML, Java",Server side natural templating engine.,Front-End,Templates
Apache FreeMarker,"CSS, FTL, HTML, Java",Presentation layer templating engine.,Front-End,Templates
Spring,"Groovy, Java, Kotlin",Full ecosystem of tools and frameworks for a myriad of purposes.,Ecosystem,Multiple
Grails,Groovy,A powerful Groovy-based web application framework for the JVM built on top of Spring Boot.,Back-End,"On Top Server, RESTful, Server"
Micronaut,"Groovy, Java, Kotlin","Servers, services and tools with modular efficiency.",Environment,"Server, System"
Quarkus,"Groovy, Java, Kotlin",Kubernetes-native cloud-first containerized enviroments.,Back-End,"On Top Server, Server, System"
ASP.NET Core,C#,Web framework with various client and server side alternatives.,Full Stack,"Server, Templates, Web App"
Blade,"CSS, HTML, PHP",Templating engine for embedding PHP and integratable with Laravel,Front-End,Templates
Laravel,"HTML, PHP",MVC web framework.,Back-End,Server
Livewire,"CSS, HTML, PHP",Dynamic  reactivity web applications built on top of Blade and Laravel,Full Stack,"Server, Web App"
Inertia.js,"JavaScript, Multiple",Flexible multi-platform hybrid SPAs bridging front end and back end.,Full Stack,"Hybrid, Server, Web App"
Hotwire,"HTML, Ruby",SSR Web UI templating for SPA reactivity.,Front-End,Templates
Ruby on Rails,"CSS, HTML, JavaScript, Ruby",MVC web framework.,Full Stack,"Server, Web App"
Phoenix,Elixir,MVC web framework with SPA UI SSR.,Full Stack,"Server, Templates, Web App"
Fiber,Go,"Fast HTTP engine, performant and quick.",Back-End,Server
Gin,Go,APO web frameowkr with fast performance.,Back-End,Server
Beego,Go,Enterprise application server development.,Back-End,"RESTful, Server"
Rocket,Rust,"Fast, type safe, secure web application framework, ",Back-End,RESTful
Actix Web,Rust,Micro HTTP framework designed to create web applications.,Back-End,Server
Unreal Engine,"Blueprints, C++, Python",Epic games 3D production and game engine.,Engine,"Desktop, Game, Native"
Flutter,Dart,Google’s open source cross platform framework for native apps.,Front-End,"Desktop, Native, Web App"
Godot,"C#, GDScript",Open source 2D and 3D game engine.,Engine,"Desktop, Game, Native, Web App"
Android SDK,"Java, Kotlin, XML",Native mobile android apps development.,Front-End,Native
Jetpack Compose,Kotlin,"Declarative UI toolkit for android applications, possible cross platform support with Compose Multiplatform.",Front-End,"Hybrid, Native"
React Native,JavaScript,"Facebook’s cross platform framework for native apps, possible desktop integration.",Front-End,"Hybrid, Native, Web App"
Unity,C#,Multi-purpose game engine.,Engine,"Desktop, Game, Native, Web App"
Ionic,"CSS, HTML, JavaScript","WebView integrated native apps using React, Angular or Vue, with possible cross platform support.",Front-End,"Hybrid, Native"
Flame,Dart,Flutter based 2D modular game engine.,Engine,"Desktop, Game, Native, Web App"
Kivy,Python,"Cross platform GUI apps, fast, easy and codebase single.",,
Tkinter,Python,Tcl/Tk based desktop GUI toolkit for msall utilities.,Front-End,Desktop
.NET MAUI,C#,Cross platform open source native and desktop apps.,Full Stack,"Desktop, Native"
Electron,"CSS, HTML, JavaScript",Embedded native desktop applications using common JS libraries and frameworks.,Front-End,"Desktop, Hybrid"
Tauri,"CSS, HTML, JavaScript, Kotlin, Rust",Embedded Rust binaries with web stack usage for desktop apps.,Full Stack,Desktop
Avalonia UI,C#,Open source cross platform UI framework with WPF for desktop and embedded apps.,Full Stack,Desktop
Qt,QML,It’s a comprehensive set of libraries and APIs for flexibly combining powerful user interface components and time-saving core functionality.,Ecosystem,"Hybrid, Multiple, System"
Firebase,Multiple,BaaS with lots of different tools and solutions in a vast amount of categories.,Environment,"Hybrid, Multiple, On Top Server, System, Web App"
Supabase,"JavaScript, SQL",Open source BaaS alternative to Firebase with easier integrations and tooling.,Environment,"Hybrid, Multiple, On Top Server, System, Web App"
MySQL,SQL,Relational database management system.,Database,System
MariaDB,SQL,Open source improved relational database management system.,Database,System
SQLite,SQL,Ligthweight embedded database.,Database,Native
SQL Server,SQL,Enterpirse relational database management system.,Database,Server
PostgreSQL,SQL,Open source customtyping and object relational database management system.,Database,"Server, System"
MongoDB,JSON,NoSQL document database.,Database,System
DynamoDB,JSON,Serverless NoSQL AWS database.,Database,"Hybrid, System"
Neo4j,Cypher,Graph database optimized for complex relationships.,Database,"Hybrid, System"
Redis,Redis CLI,In memory key value srote offering speed and simplicity.,Database,System
Cassandra,CQL,Distributed NoSQL database designed optimized for heavy workloads.,Database,System
InfluxDB,Flux,Time series database ideal for metris and monitoring.,Database,System
Scikit-learn,Python,Library for classical and simple machine learning.,Engine,"Multiple, System"
Tensorflow,"JavaScript, Python",Google’s open source ML training toolik with deployment at scale.,Engine,"Desktop, Multiple, Native, Server, System"
PyTorch,Python,"Facebook’s ML framework, flexible and cross platform.",Engine,"Desktop, Hybrid, Server, System"
OpenCV,"C++, Java, JavaScript, Python",Cross platform library for computer vision and image processing.,Engine,System
Keras,Python,High level neural network API for Tensorflow.,Engine,"Hybrid, System"
gRPC,Multiple,High performance agnostic remote procedure call framewrk with protocol buffers.,Back-End,"Hybrid, Server"
Socket.IO,"JavaScript, Multiple",Real time bidirectional communication using WebSockets.,Back-End,"Hybrid, Web App"
Selenium,"C#, Java, JavaScript, Python, Ruby","Primarily it is for automating web applications for testing purposes, but is certainly not limited to just that. Boring web-based administration tasks can (and should) also be automated as well.",Engine,"Testing, Web App"
Cypress,JavaScript,"Fast, modern test automation framework for end-to-end testing. It’s known for its developer-friendly setup, fast execution, and real-time browser interaction.",Engine,"Testing, Web App"
Appium,"C#, Java, JavaScript, Python, Ruby","Cross-platform mobile testing framework that supports native, hybrid, and mobile web applications. ",Engine,"Hybrid, Native, Testing, Web App"
Katalon Studio,"Groovy, Java, Kotlin","All-in-one test automation solution with support for web, API, mobile, and desktop applications.",Engine,"Native, RESTful, Server, Testing, Web App"
JUnit,Java,Unit-testing framework for Java applications.,Engine,Testing
NUnit,C#,Unit-testing framework for .NET applications.,Engine,Testing
Robot Framework,"Java, Python",Keyword-driven test automation framework used for acceptance testing and robotic process automation (RPA).,Engine,Testing
Cucumber,"Java, JavaScript, Kotlin, Ruby","Behavior Driven Development (BDD) framework that enables automated acceptance testing. It allows writing test cases in natural language, making it easier to understand the tests.",Engine,Testing
Mocha,JavaScript,Feature-rich JavaScript testing framework for Node.js applications.,Engine,"Server, Testing"
Protractor,JavaScript,"End-to-end testing framework specifically designed for Angular and AngularJS applications. ",Engine,"Testing, Web App"
Playwright,"C#, JavaScript, Python","Modern, fast automation framework for testing web applications. ",Engine,"Testing, Web App"
Serentiy BDD,Java,"Supports BDD and is especially useful for acceptance testing, providing clear and detailed reports.",Engine,Testing
Fitnesse,"C#, Java",Web-based test framework designed for acceptance testing. It allows non-technical users to write their own tests using a wiki-style interface.,Engine,"Testing, Web App"
