Name,Paradigm,Typing,Memory Management,Domain
JavaScript,"Functional, Imperative, OOP","Dynamic, Strong, Weak",Automatic,"Back-End, Front-End, Native"
Python,"Functional, Imperative, OOP, Scripting","Dynamic, Strong",Automatic,"Automation, Back-End, Data Science, Machine Learning, Scripting"
Java,"Imperative, OOP","Static, Strong",Automatic,"Back-End, Native, System"
C++,"Generic, OOP, Procedural","Static, Strong",Hybrid,"Critical, GameDev, High-performance, System"
C#,OOP,"Static, Strong",Automatic,"Back-End, GameDev, System"
PHP,"OOP, Procedural","Dynamic, Weak",Automatic,Back-End
Swift,"Functional, OOP","Static, Strong",Automatic,System
Ruby,OOP,"Dynamic, Strong",Automatic,"Back-End, Scripting"
SQL,Declarative,Dynamic,N/A,System
Go,"Concurrent, Imperative","Static, Strong",Automatic,"Back-End, System"
R,Functional,"Dynamic, Weak",Automatic,Data Science
Kotlin,"Functional, OOP","Static, Strong",Automatic,"Back-End, Native"
Groovy,"OOP, Scripting","Dynamic, Strong",Automatic,"Automation, Back-End, System"
Elixir,"Concurrent, Functional","Dynamic, Strong",Automatic,"High-performance, System"
Rust,"Functional, Imperative","Static, Strong",Hybrid,"Critical, High-performance, System"
Dart,"Functional, OOP","Static, Strong",Automatic,Native
TypeScript,"Functional, Imperative, OOP","Static, Strong",Automatic,"Back-End, Front-End, Native"
Scala,"Functional, OOP","Static, Strong",Automatic,Data Science
Objective-C,OOP,"Dynamic, Weak",Automatic,System
Perl,"OOP, Procedural","Dynamic, Weak",Automatic,"Automation, Scripting, System"
Lua,"Procedural, Scripting","Dynamic, Strong",Automatic,"GameDev, System"
Haskell,Functional,"Static, Strong",Automatic,"Data Science, Scripting"
COBOL,"Imperative, Procedural","Static, Strong",Manual,System
Lisp,Functional,"Dynamic, Strong",Automatic,Data Science
Julia,"Functional, Imperative","Dynamic, Strong",Automatic,"Data Science, High-performance"
Shell Scripting,"Imperative, Procedural","Dynamic, Weak",N/A,"Automation, System"
Assembly,Imperative,Strong,Manual,"Critical, High-performance, System"
Erlang,"Concurrent, Functional","Dynamic, Strong",Automatic,System
MATLAB,Procedural,"Dynamic, Strong",Automatic,Data Science
F#,Functional,"Static, Strong",Automatic,Data Science
Carbon,"Generic, OOP, Procedural","Static, Strong",Hybrid,System
Zig,"Imperative, Procedural","Static, Strong",Manual,System
