Name,Domain,Memory Management,Paradigm,Typing
JavaScript,"Back-End, Front-End, Native",Automatic,"Functional, Imperative, OOP","Dynamic, Strong, Weak"
Python,"Automation, Back-End, Data Science, Machine Learning, Scripting",Automatic,"Functional, Imperative, OOP, Scripting","Dynamic, Strong"
Java,"Back-End, Native, System",Automatic,"Imperative, OOP","Static, Strong"
C++,"Critical, GameDev, High-performance, System",Hybrid,"Generic, OOP, Procedural","Static, Strong"
C#,"Back-End, GameDev, System",Automatic,OOP,"Static, Strong"
PHP,Back-End,Automatic,"OOP, Procedural","Dynamic, Weak"
Swift,System,Automatic,"Functional, OOP","Static, Strong"
Ruby,"Back-End, Scripting",Automatic,OOP,"Dynamic, Strong"
SQL,System,N/A,Declarative,Dynamic
Go,"Back-End, System",Automatic,"Concurrent, Imperative","Static, Strong"
R,Data Science,Automatic,Functional,"Dynamic, Weak"
Kotlin,"Back-End, Native",Automatic,"Functional, OOP","Static, Strong"
Groovy,"Automation, Back-End, System",Automatic,"OOP, Scripting","Dynamic, Strong"
Elixir,"High-performance, System",Automatic,"Concurrent, Functional","Dynamic, Strong"
Dart,Native,Automatic,"Functional, OOP","Static, Strong"
Rust,"Critical, High-performance, System",Hybrid,"Functional, Imperative","Static, Strong"
TypeScript,"Back-End, Front-End, Native",Automatic,"Functional, Imperative, OOP","Static, Strong"
Scala,Data Science,Automatic,"Functional, OOP","Static, Strong"
Objective-C,System,Automatic,OOP,"Dynamic, Weak"
Perl,"Automation, Scripting, System",Automatic,"OOP, Procedural","Dynamic, Weak"
Lua,"GameDev, System",Automatic,"Procedural, Scripting","Dynamic, Strong"
Haskell,"Data Science, Scripting",Automatic,Functional,"Static, Strong"
COBOL,System,Manual,"Imperative, Procedural","Static, Strong"
Lisp,Data Science,Automatic,Functional,"Dynamic, Strong"
Julia,"Data Science, High-performance",Automatic,"Functional, Imperative","Dynamic, Strong"
Shell Scripting,"Automation, System",N/A,"Imperative, Procedural","Dynamic, Weak"
Assembly,"Critical, High-performance, System",Manual,Imperative,Strong
Erlang,System,Automatic,"Concurrent, Functional","Dynamic, Strong"
MATLAB,Data Science,Automatic,Procedural,"Dynamic, Strong"
F#,Data Science,Automatic,Functional,"Static, Strong"
Carbon,System,Hybrid,"Generic, OOP, Procedural","Static, Strong"
Zig,System,Manual,"Imperative, Procedural","Static, Strong"
