Name,Usage,Pricing,Platform,Tool Description
Applet,UI/UX,Free,Web,
Axure,UI/UX,Free,Web,
Origami Studio 3,UI/UX,Free,macOS,
Justinmind,UI/UX,Free,"Windows, macOS",
VisualSitemaps,UI/UX,Free,Web,
Flowmapp,UI/UX,Free,Web,
Webflow,UI/UX,Free,"Web, Windows, macOS",
UXPin,UI/UX,Free,Web,
Marvel,UI/UX,Free,Web,
Mockup,UI/UX,Free,macOS,
Penpot,UI/UX,Free,Web,
Framer,UI/UX,Free,"Web, Windows, macOS","Software design oriented, various pre-made components, ease of use."
Figma,UI/UX,Free,"Web, Windows, macOS","General purpose, highly functional, extensible and accessible"
Sketch,UI/UX,Subscription,macOS,
Proto.io,UI/UX,Subscription,Web,
Adobe XD,UI/UX,Subscription,"Windows, macOS",
LucidChart,Modeling,Free,Web,
Visual Paradigm CE,Modeling,Free,Web,
Whimsical,Modeling,Free,Web,
Fluig,Modeling,Free,Web,
Miro,Modeling,Free,Web,
draw.io,Modeling,Free,"Linux, Web, Windows, macOS",
yEd,Modeling,Free,"Linux, Windows, macOS",
PlantUML,Modeling,Free,Web,
Modelio,Modeling,Free,"Linux, Windows",
JetUML,Modeling,Free,Windows,
StarUML,Modeling,Paid,"Windows, macOS",
Balsamiq,Modeling,Subscription,Web,
Wireframe.cc,Modeling,Subscription,Web,
